Name,deltaE_V
12344381_b3lyp_prop_1,1.0257141472765088
12344381_b3lyp_prop_3,1.2702229336161897
12344381_b3lyp_prop_5,1.023414776909211
12344381_b3lyp_prop_6,1.0303128880126504
12488903_b3lyp_0,1.1563836917648584
12506460_b3lyp_0,1.2652024148830372
12506460_b3lyp_1,0.9502430973726826
12506460_b3lyp_2,0.9236302663633402
12506460_b3lyp_3,1.3374897212000687
12506460_b3lyp_4,0.9568826993836111
12506460_b3lyp_5,0.9497124734428324
12506460_b3lyp_6,1.0467078069123164
12527779_b3lyp_0,2.7152887728662827
12527779_b3lyp_prop_0,2.522509016946687
12587549_b3lyp_0,1.3796539151165252
12587549_b3lyp_1,1.314618469192504
12587549_b3lyp_2,1.5029219360520802
12587549_b3lyp_3,1.517793011866543
12587549_b3lyp_prop_0,0.9662434497588864
12587549_b3lyp_prop_1,1.0728036197335828
12587549_b3lyp_prop_2,1.0982327512040104
12587549_b3lyp_prop_3,1.1522747577332058
12587549_b3lyp_prop_4,1.169431598176246
12635763_b3lyp_prop_0,0.9937950769548618
12635763_b3lyp_prop_1,0.8134645748048006
12635763_b3lyp_prop_2,0.7952736979841006
12635763_b3lyp_prop_3,1.049265686375179
12635763_b3lyp_prop_4,0.8158455796228216
12635763_b3lyp_prop_5,0.8073692024654971
12635763_b3lyp_prop_6,0.7837904518848235
12754795_b3lyp_1,2.0793700057018976
12754795_b3lyp_prop_1,1.508908462455528
12838779_b3lyp_0,1.7008854796078958
12838779_b3lyp_prop_0,1.2180313079752023
12913941_b3lyp_0,1.0198636782925414
12913941_b3lyp_1,1.2674473622847071
12913941_b3lyp_2,1.479139099341432
12913941_b3lyp_3,1.4755335777575886
12913941_b3lyp_prop_0,1.0893754132765443
12913941_b3lyp_prop_1,0.9116436078147078
12913941_b3lyp_prop_2,1.0526535160903647
12913941_b3lyp_prop_4,1.1285191325076904
129812261_b3lyp_0,1.812561408509864
129812261_b3lyp_prop_0,1.550746118567396
129814774_b3lyp_0,1.7968059594759045
129814774_b3lyp_1,1.776098020417703
129814774_b3lyp_prop_0,1.5511678965644824
129814774_b3lyp_prop_1,1.438784469087822
129814774_b3lyp_prop_2,1.3775722366163392
130027375_b3lyp_0,1.6035772140741271
130027375_b3lyp_prop_0,1.3604426076583942
130029656_b3lyp_0,1.694613232626842
130029656_b3lyp_1,1.9395301912202887
130029656_b3lyp_prop_0,1.425491659325736
130029656_b3lyp_prop_1,1.6278770689743594
130029677_b3lyp_0,1.8688211509555963
130029677_b3lyp_prop_0,1.5697669456389105
130029688_b3lyp_0,2.1908826656992897
130029688_b3lyp_prop_0,1.9950280121272477
130412007_b3lyp_0,1.2449842825308328
130412007_b3lyp_1,1.3997768072746106
130412007_b3lyp_2,1.0761234207398205
130412007_b3lyp_3,1.4509207907961634
130412007_b3lyp_4,1.4503085324140443
130412007_b3lyp_prop_0,0.9076435197189486
130412007_b3lyp_prop_1,1.0446669456390374
130412007_b3lyp_prop_2,1.1268048090374168
130412007_b3lyp_prop_3,0.9022284344722964
130412007_b3lyp_prop_4,1.1126548375393834
130412007_b3lyp_prop_5,1.118056317044261
13182761_b3lyp_0,0.8225940275696438
13182761_b3lyp_1,1.178125667202228
13182761_b3lyp_2,1.1846972405026626
13182761_b3lyp_5,1.1835679639324672
13182761_b3lyp_prop_0,0.6597060864386828
13182761_b3lyp_prop_1,0.6656109783898239
13182761_b3lyp_prop_4,0.8356283282377106
13182761_b3lyp_prop_5,0.6589441648968543
13182761_b3lyp_prop_6,0.8800102580706667
134204124_b3lyp_0,1.444253977301648
134204124_b3lyp_1,1.494867336891842
134204124_b3lyp_prop_0,1.1039199512880398
134204124_b3lyp_prop_1,1.1839353189623798
13839673_b3lyp_0,1.4055184303257762
13839673_b3lyp_1,1.4439682567240422
13839673_b3lyp_prop_0,1.3788375706075229
13839673_b3lyp_prop_2,1.1581388324620396
14080455_b3lyp_0,1.3180879333569044
14080455_b3lyp_1,1.6363670518734963
14080455_b3lyp_prop_0,1.2529708529821604
14080455_b3lyp_prop_1,1.292658801886477
14080455_b3lyp_prop_2,1.3412857231705286
141161619_b3lyp_0,2.1268948618962864
141161619_b3lyp_1,2.3621653495368142
141161619_b3lyp_2,2.5072569803589912
141161619_b3lyp_3,2.123969627403549
